City,Date,Holiday
ORANGE COUNTY,43050,Veterans Day 
ORANGE COUNTY,43062,Thanksgiving
ORANGE COUNTY,43063,Thanksgiving (Day After)
ORANGE COUNTY,43093,Christmas Eve
ORANGE COUNTY,43094,Christmas day
ORANGE COUNTY,43100,New Year's Eve
ORANGE COUNTY,43101,New Year's Day
ORANGE COUNTY,43115,Martin Luther King Jr. Day
ORANGE COUNTY,43150,President's Day
ORANGE COUNTY,43190,César Chávez Day
ORANGE COUNTY,43248,Memorial Day
ORANGE COUNTY,43270,Juneteenth National Independence
ORANGE COUNTY,43285,Independence Day
ORANGE COUNTY,43346,Labor Day
ORANGE COUNTY,43415,Veterans Day 
ORANGE COUNTY,43426,Thanksgiving
ORANGE COUNTY,43427,Thanksgiving (Day After)
ORANGE COUNTY,43458,Christmas Eve
ORANGE COUNTY,43459,Christmas day
ORANGE COUNTY,43465,New Year's Eve
